J1772,CWE-22 CWE-23 CWE-36 CWE-73 CWE-610 CWE-642 CWE-664 CWE-668 CWE-706
J1782,CWE-22 CWE-23 CWE-36 CWE-73 CWE-610 CWE-642 CWE-664 CWE-668 CWE-706
J1784,CWE-22 CWE-23 CWE-36 CWE-73 CWE-610 CWE-642 CWE-664 CWE-668 CWE-706
J1786,CWE-22 CWE-23 CWE-36 CWE-73 CWE-610 CWE-642 CWE-664 CWE-668 CWE-706
J1788,CWE-22 CWE-23 CWE-36 CWE-73 CWE-610 CWE-642 CWE-664 CWE-668 CWE-706
J1794,CWE-22 CWE-23 CWE-36 CWE-73 CWE-610 CWE-642 CWE-664 CWE-668 CWE-706
J1956,CWE-22 CWE-23 CWE-36 CWE-73 CWE-610 CWE-642 CWE-664 CWE-668 CWE-706
J1966,CWE-22 CWE-23 CWE-36 CWE-73 CWE-610 CWE-642 CWE-664 CWE-668 CWE-706
J1968,CWE-22 CWE-23 CWE-36 CWE-73 CWE-610 CWE-642 CWE-664 CWE-668 CWE-706
J1970,CWE-22 CWE-23 CWE-36 CWE-73 CWE-610 CWE-642 CWE-664 CWE-668 CWE-706
J1972,CWE-22 CWE-23 CWE-36 CWE-73 CWE-610 CWE-642 CWE-664 CWE-668 CWE-706
J1978,CWE-22 CWE-23 CWE-36 CWE-73 CWE-610 CWE-642 CWE-664 CWE-668 CWE-706
J2601,CWE-74 CWE-77 CWE-78 CWE-88 CWE-707
J2611,CWE-74 CWE-77 CWE-78 CWE-88 CWE-707
J2613,CWE-74 CWE-77 CWE-78 CWE-88 CWE-707
J2615,CWE-74 CWE-77 CWE-78 CWE-88 CWE-707
J2617,CWE-74 CWE-77 CWE-78 CWE-88 CWE-707
J2623,CWE-74 CWE-77 CWE-78 CWE-88 CWE-707
J2603,CWE-74 CWE-77 CWE-78 CWE-88 CWE-707
J2605,CWE-74 CWE-77 CWE-78 CWE-88 CWE-707
J2607,CWE-74 CWE-77 CWE-78 CWE-88 CWE-707
J2609,CWE-74 CWE-77 CWE-78 CWE-88 CWE-707
J2619,CWE-74 CWE-77 CWE-78 CWE-88 CWE-707
J2621,CWE-74 CWE-77 CWE-78 CWE-88 CWE-707
J2625,CWE-74 CWE-79 CWE-707
J2631,CWE-74 CWE-79 CWE-707
J2633,CWE-74 CWE-79 CWE-707
J2635,CWE-74 CWE-79 CWE-707
J2637,CWE-74 CWE-79 CWE-707
J2641,CWE-74 CWE-79 CWE-707
J2643,CWE-74 CWE-79 CWE-707
J2649,CWE-74 CWE-79 CWE-707
J2651,CWE-74 CWE-79 CWE-707
J2653,CWE-74 CWE-79 CWE-707
J2655,CWE-74 CWE-79 CWE-707
J2659,CWE-74 CWE-79 CWE-707
J2707,CWE-74 CWE-79 CWE-707
J2713,CWE-74 CWE-79 CWE-707
J2715,CWE-74 CWE-79 CWE-707
J2717,CWE-74 CWE-79 CWE-707
J2719,CWE-74 CWE-79 CWE-707
J2723,CWE-74 CWE-79 CWE-707
J2725,CWE-74 CWE-89 CWE-564 CWE-707 CWE-943
J2727,CWE-74 CWE-89 CWE-564 CWE-707 CWE-943
J2729,CWE-74 CWE-89 CWE-564 CWE-707 CWE-943
J2731,CWE-74 CWE-89 CWE-564 CWE-707 CWE-943
J2733,CWE-74 CWE-89 CWE-564 CWE-707 CWE-943
J2775,CWE-74 CWE-89 CWE-564 CWE-707 CWE-943
J2777,CWE-74 CWE-89 CWE-564 CWE-707 CWE-943
J2779,CWE-74 CWE-89 CWE-564 CWE-707 CWE-943
J2781,CWE-74 CWE-89 CWE-564 CWE-707 CWE-943
J2783,CWE-74 CWE-89 CWE-564 CWE-707 CWE-943
J2785,CWE-74 CWE-89 CWE-564 CWE-707 CWE-943
J2787,CWE-74 CWE-89 CWE-564 CWE-707 CWE-943
J2789,CWE-74 CWE-89 CWE-564 CWE-707 CWE-943
J2791,CWE-74 CWE-89 CWE-564 CWE-707 CWE-943
J2793,CWE-74 CWE-89 CWE-564 CWE-707 CWE-943
J2795,CWE-74 CWE-89 CWE-564 CWE-707 CWE-943
J2797,CWE-74 CWE-89 CWE-564 CWE-707 CWE-943
J2799,CWE-74 CWE-89 CWE-564 CWE-707 CWE-943
J2801,CWE-74 CWE-89 CWE-564 CWE-707 CWE-943
J2803,CWE-74 CWE-89 CWE-564 CWE-707 CWE-943
J2805,CWE-74 CWE-89 CWE-564 CWE-707 CWE-943
J2807,CWE-74 CWE-89 CWE-564 CWE-707 CWE-943
J2809,CWE-74 CWE-89 CWE-564 CWE-707 CWE-943
J2811,CWE-74 CWE-89 CWE-564 CWE-707 CWE-943
J2813,CWE-74 CWE-89 CWE-564 CWE-707 CWE-943
J2835,CWE-74 CWE-89 CWE-564 CWE-707 CWE-943
J2837,CWE-74 CWE-89 CWE-564 CWE-707 CWE-943
J2839,CWE-74 CWE-89 CWE-564 CWE-707 CWE-943
J2841,CWE-74 CWE-89 CWE-564 CWE-707 CWE-943
J2843,CWE-74 CWE-89 CWE-564 CWE-707 CWE-943
J2845,CWE-74 CWE-90 CWE-707 CWE-943
J2855,CWE-74 CWE-90 CWE-707 CWE-943
J2857,CWE-74 CWE-90 CWE-707 CWE-943
J2859,CWE-74 CWE-90 CWE-707 CWE-943
J2861,CWE-74 CWE-90 CWE-707 CWE-943
