J1144,CWE190_Integer_Overflow__byte_console_readLine_add_01_bad,CWE-190,True,Integer Overflow
J1145,CWE190_Integer_Overflow__byte_console_readLine_add_01_good,CWE-190,False,Integer Overflow
J1146,CWE190_Integer_Overflow__byte_console_readLine_multiply_01_bad,CWE-190,True,Integer Overflow
J1147,CWE190_Integer_Overflow__byte_console_readLine_multiply_01_good,CWE-190,False,Integer Overflow
J1148,CWE190_Integer_Overflow__byte_console_readLine_square_01_bad,CWE-190,True,Integer Overflow
J1149,CWE190_Integer_Overflow__byte_console_readLine_square_01_good,CWE-190,False,Integer Overflow
J1150,CWE190_Integer_Overflow__byte_max_add_01_bad,CWE-190,True,Integer Overflow
J1151,CWE190_Integer_Overflow__byte_max_add_01_good,CWE-190,False,Integer Overflow
J1152,CWE190_Integer_Overflow__byte_max_multiply_01_bad,CWE-190,True,Integer Overflow
J1153,CWE190_Integer_Overflow__byte_max_multiply_01_good,CWE-190,False,Integer Overflow
J1154,CWE190_Integer_Overflow__byte_max_square_01_bad,CWE-190,True,Integer Overflow
J1155,CWE190_Integer_Overflow__byte_max_square_01_good,CWE-190,False,Integer Overflow
J1156,CWE190_Integer_Overflow__byte_rand_add_01_bad,CWE-190,True,Integer Overflow
J1157,CWE190_Integer_Overflow__byte_rand_add_01_good,CWE-190,False,Integer Overflow
J1158,CWE190_Integer_Overflow__byte_rand_multiply_01_bad,CWE-190,True,Integer Overflow
J1159,CWE190_Integer_Overflow__byte_rand_multiply_01_good,CWE-190,False,Integer Overflow
J1160,CWE190_Integer_Overflow__byte_rand_square_01_bad,CWE-190,True,Integer Overflow
J1161,CWE190_Integer_Overflow__byte_rand_square_01_good,CWE-190,False,Integer Overflow
J1162,CWE190_Integer_Overflow__int_connect_tcp_add_01_bad,CWE-190,True,Integer Overflow
J1163,CWE190_Integer_Overflow__int_connect_tcp_add_01_good,CWE-190,False,Integer Overflow
J1164,CWE190_Integer_Overflow__int_connect_tcp_multiply_01_bad,CWE-190,True,Integer Overflow
J1165,CWE190_Integer_Overflow__int_connect_tcp_multiply_01_good,CWE-190,False,Integer Overflow
J1166,CWE190_Integer_Overflow__int_connect_tcp_square_01_bad,CWE-190,True,Integer Overflow
J1167,CWE190_Integer_Overflow__int_connect_tcp_square_01_good,CWE-190,False,Integer Overflow
J1168,CWE190_Integer_Overflow__int_console_readLine_add_01_bad,CWE-190,True,Integer Overflow
J1169,CWE190_Integer_Overflow__int_console_readLine_add_01_good,CWE-190,False,Integer Overflow
J1170,CWE190_Integer_Overflow__int_console_readLine_multiply_01_bad,CWE-190,True,Integer Overflow
J1171,CWE190_Integer_Overflow__int_console_readLine_multiply_01_good,CWE-190,False,Integer Overflow
