juliet-top-25-subset-34;spotbugs;J20633;CWE-NR;Dodgy code (STYLE) -  DMI: Hard coded reference to an absolute pathname in testcases.CWE78_OS_Command_Injection.J20633.b_source()  At J20633.java:[line 17];17;17;2024-02-01
juliet-top-25-subset-34;spotbugs;J20632;CWE-NR;Dodgy code (STYLE) -  DMI: Hard coded reference to an absolute pathname in testcases.CWE78_OS_Command_Injection.J20632.b_source()  At J20632.java:[line 30];30;30;2024-02-01
juliet-top-25-subset-34;spotbugs;J21062;CWE-NR;Dodgy code (STYLE) -  DMI: Hard coded reference to an absolute pathname in testcases.CWE80_XSS.s01.J21062.handle(HttpServletRequest, HttpServletResponse)  At J21062.java:[line 16];16;16;2024-02-01
juliet-top-25-subset-34;spotbugs;J19720;CWE-NR;Dodgy code (STYLE) -  DB: testcases.CWE476_NULL_Pointer_Dereference.J19720.handle() uses the same code for two branches  At J19720.java:[line 7];7;7;2024-02-01
juliet-top-25-subset-34;spotbugs;J19721;CWE-NR;Dodgy code (STYLE) -  RCN: Redundant nullcheck of data which is known to be null in testcases.CWE476_NULL_Pointer_Dereference.J19721.processB2G2()  Redundant null check at J19721.java:[line 51];51;51;2024-02-01
juliet-top-25-subset-34;spotbugs;J19721;CWE-NR;Dodgy code (STYLE) -  RCN: Redundant nullcheck of data which is known to be null in testcases.CWE476_NULL_Pointer_Dereference.J19721.processB2G1()  Redundant null check at J19721.java:[line 36];36;36;2024-02-01
juliet-top-25-subset-34;spotbugs;J19721;CWE-NR;Dodgy code (STYLE) -  DB: testcases.CWE476_NULL_Pointer_Dereference.J19721.processB2G1() uses the same code for two branches  At J19721.java:[line 29];29;29;2024-02-01
juliet-top-25-subset-34;spotbugs;J19721;CWE-NR;Dodgy code (STYLE) -  DB: testcases.CWE476_NULL_Pointer_Dereference.J19721.processB2G2() uses the same code for two branches  At J19721.java:[line 46];46;46;2024-02-01
juliet-top-25-subset-34;spotbugs;J17186;CWE-NR;Bad practice (BAD_PRACTICE) -  DMI: Random object created and used only once in testcases.CWE190_Integer_Overflow.s06.J17186.handle()  At J17186.java:[line 14];14;14;2024-02-01
juliet-top-25-subset-34;spotbugs;J17187;CWE-NR;Bad practice (BAD_PRACTICE) -  DMI: Random object created and used only once in testcases.CWE190_Integer_Overflow.s06.J17187.processB2G1()  At J17187.java:[line 40];40;40;2024-02-01
juliet-top-25-subset-34;spotbugs;J17187;CWE-NR;Bad practice (BAD_PRACTICE) -  DMI: Random object created and used only once in testcases.CWE190_Integer_Overflow.s06.J17187.processB2G2()  At J17187.java:[line 59];59;59;2024-02-01
juliet-top-25-subset-34;spotbugs;J19731;CWE-NR;Dodgy code (STYLE) -  RCN: Redundant nullcheck of dataCopy which is known to be null in testcases.CWE476_NULL_Pointer_Dereference.J19731.processB2G()  Redundant null check at J19731.java:[line 29];29;29;2024-02-01
juliet-top-25-subset-34;spotbugs;J20841;CWE-NR;Dodgy code (STYLE) -  DB: testcases.CWE78_OS_Command_Injection.J20841.processG2B() uses the same code for two branches  At J20841.java:[line 12];12;12;2024-02-01
juliet-top-25-subset-34;spotbugs;J19741;CWE-NR;Dodgy code (STYLE) -  RCN: Redundant nullcheck of data which is known to be null in testcases.CWE476_NULL_Pointer_Dereference.J19741.processB2G2()  Redundant null check at J19741.java:[line 51];51;51;2024-02-01
juliet-top-25-subset-34;spotbugs;J19741;CWE-NR;Dodgy code (STYLE) -  RCN: Redundant nullcheck of data which is known to be null in testcases.CWE476_NULL_Pointer_Dereference.J19741.processB2G1()  Redundant null check at J19741.java:[line 36];36;36;2024-02-01
