juliet-top-25-subset-34,codeql,J18234,CWE-22 CWE-23 CWE-36 CWE-73 CWE-610 CWE-642 CWE-664 CWE-668 CWE-706,Uncontrolled data used in path expression,62,62,2024-01-20
juliet-top-25-subset-34,codeql,J18234,CWE-22 CWE-23 CWE-36 CWE-73 CWE-610 CWE-642 CWE-664 CWE-668 CWE-706,Uncontrolled data used in path expression,68,68,2024-01-20
juliet-top-25-subset-34,codeql,J18264,CWE-22 CWE-23 CWE-36 CWE-73 CWE-610 CWE-642 CWE-664 CWE-668 CWE-706,Uncontrolled data used in path expression,62,62,2024-01-20
juliet-top-25-subset-34,codeql,J18264,CWE-22 CWE-23 CWE-36 CWE-73 CWE-610 CWE-642 CWE-664 CWE-668 CWE-706,Uncontrolled data used in path expression,68,68,2024-01-20
juliet-top-25-subset-34,codeql,J18452,CWE-22 CWE-23 CWE-36 CWE-73 CWE-610 CWE-642 CWE-664 CWE-668 CWE-706,Uncontrolled data used in path expression,27,27,2024-01-20
juliet-top-25-subset-34,codeql,J18452,CWE-22 CWE-23 CWE-36 CWE-73 CWE-610 CWE-642 CWE-664 CWE-668 CWE-706,Uncontrolled data used in path expression,33,33,2024-01-20
juliet-top-25-subset-34,codeql,J18458,CWE-22 CWE-23 CWE-36 CWE-73 CWE-610 CWE-642 CWE-664 CWE-668 CWE-706,Uncontrolled data used in path expression,28,28,2024-01-20
juliet-top-25-subset-34,codeql,J18458,CWE-22 CWE-23 CWE-36 CWE-73 CWE-610 CWE-642 CWE-664 CWE-668 CWE-706,Uncontrolled data used in path expression,34,34,2024-01-20
juliet-top-25-subset-34,codeql,J18532,CWE-22 CWE-23 CWE-36 CWE-73 CWE-610 CWE-642 CWE-664 CWE-668 CWE-706,Uncontrolled data used in path expression,21,21,2024-01-20
juliet-top-25-subset-34,codeql,J18532,CWE-22 CWE-23 CWE-36 CWE-73 CWE-610 CWE-642 CWE-664 CWE-668 CWE-706,Uncontrolled data used in path expression,27,27,2024-01-20
juliet-top-25-subset-34,codeql,J18584,CWE-22 CWE-23 CWE-36 CWE-73 CWE-610 CWE-642 CWE-664 CWE-668 CWE-706,Uncontrolled data used in path expression,70,70,2024-01-20
juliet-top-25-subset-34,codeql,J18584,CWE-22 CWE-23 CWE-36 CWE-73 CWE-610 CWE-642 CWE-664 CWE-668 CWE-706,Uncontrolled data used in path expression,76,76,2024-01-20
juliet-top-25-subset-34,codeql,J18588,CWE-22 CWE-23 CWE-36 CWE-73 CWE-610 CWE-642 CWE-664 CWE-668 CWE-706,Uncontrolled data used in path expression,72,72,2024-01-20
juliet-top-25-subset-34,codeql,J18588,CWE-22 CWE-23 CWE-36 CWE-73 CWE-610 CWE-642 CWE-664 CWE-668 CWE-706,Uncontrolled data used in path expression,78,78,2024-01-20
juliet-top-25-subset-34,codeql,J18596,CWE-22 CWE-23 CWE-36 CWE-73 CWE-610 CWE-642 CWE-664 CWE-668 CWE-706,Uncontrolled data used in path expression,70,70,2024-01-20
juliet-top-25-subset-34,codeql,J18596,CWE-22 CWE-23 CWE-36 CWE-73 CWE-610 CWE-642 CWE-664 CWE-668 CWE-706,Uncontrolled data used in path expression,76,76,2024-01-20
